StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
California,San Diego,7.4,7.1,7.9
Kentucky,Lexington,9.2,8.9,9.6
Texas,Dallas,11.1,10.3,12.0
Texas,Denton,10.3,9.3,11.8
California,Anaheim,8.7,8.2,9.2
Massachusetts,Newton,9.3,9.2,9.4
Georgia,Augusta,10.9,10.2,11.6
Texas,McAllen,9.1,8.2,10.2
Illinois,Rockford,10.2,9.5,11.2
California,Roseville,8.2,7.8,8.9
Alabama,Huntsville,7.8,7.3,8.5
California,Oceanside,9.6,8.9,10.3
Illinois,Bolingbrook,9.0,8.9,9.2
Florida,Miami Gardens,9.9,9.1,10.8
California,Riverside,8.8,8.7,8.9
Illinois,Chicago,9.0,8.3,9.9
Texas,Garland,7.9,7.5,8.3
Utah,Orem,8.2,7.8,8.8
Virginia,Alexandria,9.2,8.7,9.8
Colorado,Centennial,7.8,7.3,8.5
Colorado,Boulder,9.2,8.4,9.9
Texas,Frisco,7.9,7.5,8.4
New York,New York,12.3,11.6,13.3
Hawaii,Honolulu,9.0,8.7,9.3
Pennsylvania,Philadelphia,10.3,9.8,10.9
Washington,Yakima,10.6,10.4,10.8
Michigan,Grand Rapids,10.4,9.6,11.5
Washington,Tacoma,,,
California,Hemet,9.7,9.5,9.8
Louisiana,Lafayette,10.5,9.7,11.3
Indiana,Fort Wayne,10.9,10.8,11.0
Pennsylvania,Philadelphia,15.1,13.9,16.5
Florida,Tallahassee,8.1,8.0,8.1
California,Escondido,9.8,9.1,10.5
Texas,Wichita Falls,9.1,9.0,9.2
Texas,Pharr,8.3,8.0,8.7
North Carolin,Greenville,8.9,8.7,9.1
California,Moreno Valley,9.2,8.7,9.8
Texas,Houston,7.4,7.1,7.8
Utah,Provo,9.6,9.4,9.9
Illinois,Aurora,8.8,8.4,9.4
California,Stockton,9.5,9.4,9.5
New York,New York,9.6,8.8,10.3
Michigan,Warren,10.5,9.8,11.3
Ohio,Columbus,8.9,8.4,9.5
California,Torrance,7.0,6.7,7.4
Nevada,Las Vegas,8.5,8.1,9.0
Florida,Miami Beach,6.6,6.2,7.1
North Carolin,Wilmington,9.9,9.3,10.7
Pennsylvania,Pittsburgh,13.3,12.5,14.2
Georgia,Savannah,10.5,9.8,11.3
Texas,Baytown,9.0,8.9,9.2
New Jersey,Paterson,9.6,9.2,10.1
Texas,El Paso,8.3,7.7,9.0
California,Fullerton,8.0,7.9,8.1
Nevada,Las Vegas,9.4,8.9,10.0
Texas,San Antonio,7.7,7.4,8.1
Alaska,Anchorage,9.1,9.0,9.2
Arizona,Mesa,10.1,10.0,10.1
Nevada,Sparks,8.9,8.8,9.0
New York,New York,10.6,10.0,11.3
Florida,Miami,7.3,6.7,7.8
Texas,Richardson,8.0,7.5,8.6
Texas,Dallas,11.8,11.1,12.7
Ohio,Columbus,9.5,9.0,10.2
Texas,Austin,9.0,8.4,9.6
Michigan,Ann Arbor,9.8,9.7,10.0
Nevada,Las Vegas,9.7,9.2,10.3
Oregon,Portland,8.7,8.2,9.3
Pennsylvania,Bethlehem,11.1,10.3,11.9
Hawaii,Honolulu,8.0,7.7,8.5
Illinois,Elgin,9.6,8.9,10.4
Virginia,Virginia Beach,7.7,7.3,8.1
Kansas,Wichita,11.3,10.7,12.0
Missouri,Kansas City,8.7,8.2,9.4
Kentucky,Louisville,10.9,10.3,11.7
North Carolin,Winston-Salem,7.6,7.3,8.0
Texas,Killeen,9.8,9.4,10.3
Illinois,Chicago,9.5,8.8,10.2
New Jersey,Newark,13.3,12.3,14.4
Florida,Miami,6.8,6.1,7.5
California,Folsom,8.3,7.9,9.0
California,San Francisco,7.4,7.1,7.8
Texas,Houston,11.0,10.4,11.7
Texas,San Antonio,9.0,8.4,9.6
California,San Diego,7.6,7.2,8.0
New York,New York,12.6,11.6,13.6
District of C,Washington,10.6,9.9,11.4
California,San Francisco,7.6,7.2,8.0
Hawaii,Honolulu,9.3,8.9,9.8
Florida,Orlando,8.2,8.1,8.3
Texas,Grand Prairie,10.1,9.4,10.9
Missouri,Lee's Summit,,,
California,Torrance,7.0,7.0,7.1
California,Santa Ana,9.3,8.6,9.9
California,Fremont,6.9,6.7,7.2
Florida,Gainesville,8.1,7.4,9.5
Florida,Boynton Beach,7.8,7.5,8.2
Oregon,Salem,10.4,10.2,10.5
New York,Albany,13.6,12.9,14.6
California,Visalia,8.9,8.5,9.5
Missouri,St. Louis,12.9,12.3,13.8
Nevada,Las Vegas,7.3,7.0,7.7
Florida,Orlando,8.7,8.1,9.3
New York,New York,14.3,13.2,15.6
Maryland,Baltimore,14.3,13.2,15.5
California,Menifee,8.4,7.7,9.3
California,Santa Ana,7.4,7.1,7.9
North Carolin,Greensboro,8.9,8.6,9.2
Illinois,Peoria,13.8,13.0,14.6
Maryland,Baltimore,15.9,14.4,17.4
Connecticut,Norwalk,8.9,8.8,9.0
Colorado,Denver,8.8,8.2,9.7
Louisiana,New Orleans,12.5,11.4,13.8
New York,New York,9.5,9.0,10.0
District of C,Washington,8.2,7.8,8.7
Georgia,Atlanta,11.2,10.2,12.3
Texas,Houston,8.2,7.8,8.7
Virginia,Norfolk,10.7,10.0,11.6
Colorado,Greeley,8.3,7.8,8.8
California,Costa Mesa,,,
Colorado,Centennial,7.9,7.5,8.4
Oklahoma,Oklahoma City,8.0,7.7,8.4
Virginia,Newport News,10.0,9.5,10.5
Oklahoma,Lawton,10.1,9.7,10.7
Texas,San Antonio,8.4,8.0,8.8
New York,New York,7.9,7.6,8.4
North Carolin,Charlotte,6.9,6.7,7.2
Iowa,Cedar Rapids,8.9,8.4,9.4
California,Hayward,9.1,8.6,9.6
Rhode Island,Providence,12.6,12.4,12.7
New York,New York,10.7,9.9,12.2
Nevada,North Las Vegas,8.7,8.4,9.1
Wisconsin,Milwaukee,10.0,9.2,10.8
Illinois,Chicago,8.0,7.7,8.4
Illinois,Springfield,8.6,8.1,9.2
California,San Jose,8.2,7.4,9.0
California,Vallejo,11.4,10.8,12.1
Kentucky,Lexington,11.5,10.7,12.5
California,Lakewood,8.3,7.9,8.7
New Jersey,Union City,8.6,7.8,9.5
Illinois,Chicago,9.5,8.9,10.1
California,San Francisco,11.0,10.1,11.9
Texas,Dallas,9.0,8.1,9.9
Illinois,Joliet,11.5,11.0,12.1
Massachusetts,Somerville,10.7,10.1,11.4
Alabama,Hoover,7.8,7.4,8.2
Mississippi,Jackson,,,
Colorado,Denver,8.4,7.8,9.1
Texas,Frisco,7.3,6.8,8.0
California,Fresno,8.6,8.2,9.0
New York,New York,11.7,11.0,12.7
North Carolin,Durham,6.9,6.6,7.4
Oregon,Portland,8.6,8.1,9.2
California,Citrus Heights,9.6,9.0,10.2
Arizona,Tucson,10.0,9.5,10.6
Ohio,Cincinnati,10.7,10.1,11.6
North Carolin,Fayetteville,8.6,8.2,9.1
Hawaii,Honolulu,9.7,9.4,10.1
Ohio,Cleveland,10.3,9.9,10.7
Louisiana,Lafayette,8.3,7.7,9.0
California,Fontana,8.7,8.4,9.1
Texas,San Antonio,8.8,8.1,9.8
Indiana,Fort Wayne,12.5,11.6,13.5
California,Los Angeles,7.5,7.0,7.9
Michigan,Grand Rapids,8.9,8.3,9.6
Louisiana,New Orleans,12.3,11.1,13.5
Texas,Pearland,8.4,8.0,9.0
Florida,Hollywood,8.2,7.7,8.6
Connecticut,Waterbury,10.9,10.3,11.5
Florida,Jacksonville,8.2,8.2,8.3
Florida,Boca Raton,6.7,6.4,7.2
Illinois,Chicago,12.3,11.4,13.4
New York,Buffalo,11.9,11.0,12.8
Arizona,Scottsdale,8.7,8.3,9.4
Alabama,Birmingham,9.9,9.2,10.7
Ohio,Cincinnati,9.3,8.7,10.3
Ohio,Columbus,11.0,10.3,11.7
New York,New York,8.5,8.1,9.0
Nebraska,Lincoln,7.9,7.5,8.2
Texas,Houston,7.2,6.8,7.6
Nevada,Henderson,8.4,8.1,8.8
Texas,Dallas,10.2,9.8,10.6
Washington,Spokane Valley,10.8,10.1,11.7
Nebraska,Omaha,7.3,6.9,7.7
Pennsylvania,Philadelphia,11.2,10.5,12.0
Massachusetts,Lynn,12.5,11.9,13.1
California,Stockton,9.3,8.8,9.9
Louisiana,Lafayette,8.0,7.4,8.8
Virginia,Richmond,10.2,9.6,10.8
Nevada,Las Vegas,8.0,7.5,8.7
Washington,Spokane,10.6,10.0,11.3
Nebraska,Lincoln,7.3,7.0,7.7
Wisconsin,Milwaukee,12.3,11.6,13.3
Illinois,Chicago,7.6,7.3,8.1
Alabama,Birmingham,9.1,8.6,9.7
Hawaii,Honolulu,12.0,11.7,12.3
Georgia,Atlanta,12.9,12.0,13.9
Illinois,Chicago,13.3,12.3,14.5
Hawaii,Honolulu,7.8,7.4,8.3
California,Los Angeles,11.1,10.2,12.0
Oregon,Gresham,9.5,8.9,10.2
Alabama,Birmingham,12.4,11.4,13.7
California,Inglewood,9.8,9.2,10.4
Michigan,Grand Rapids,12.5,11.6,13.5
Colorado,Denver,9.4,8.9,9.8
Michigan,Rochester Hills,11.0,10.2,11.9
California,San Bernardino,,,
Arkansas,Little Rock,9.9,9.3,10.6
New York,New York,10.0,9.6,10.6
Texas,Austin,7.9,7.6,8.3
Indiana,Indianapolis,9.7,9.2,10.4
California,Los Angeles,7.7,7.4,8.0
Arizona,Tucson,,,
Texas,Austin,8.2,7.8,8.7
New York,Buffalo,15.4,14.7,16.2
California,Fremont,8.2,7.8,8.7
California,Oakland,9.9,9.3,10.5
Pennsylvania,Philadelphia,8.6,8.2,9.3
Georgia,Savannah,11.3,10.4,12.3
New York,New York,10.6,9.9,11.6
Missouri,Kansas City,8.2,7.9,8.7
Colorado,Pueblo,10.1,9.4,10.8
Oklahoma,Tulsa,8.3,7.8,9.0
Pennsylvania,Philadelphia,10.1,9.4,11.2
Idaho,Nampa,11.3,10.6,12.2
California,Costa Mesa,8.5,8.1,9.1
Missouri,St. Louis,13.2,12.3,14.3
New York,New York,10.5,10.0,11.1
Ohio,Columbus,9.5,9.2,9.9
California,Los Angeles,8.4,7.6,9.2
California,Thousand Oaks,7.9,7.4,8.6
Indiana,Bloomington,11.2,10.3,12.7
California,Tracy,9.1,8.7,9.6
Texas,Amarillo,11.2,10.6,11.9
North Carolin,Charlotte,12.2,11.2,13.3
New York,New York,8.3,7.9,8.7
Texas,El Paso,8.8,8.2,9.4
Louisiana,New Orleans,9.6,9.0,10.3
Ohio,Cincinnati,8.5,8.1,9.0
California,Oxnard,9.2,8.4,10.1
Michigan,Farmington Hills,10.4,9.7,11.1
California,Los Angeles,9.3,8.7,10.0
Pennsylvania,Philadelphia,12.3,11.6,13.2
California,San Francisco,7.9,7.1,8.7
California,Fresno,10.6,9.7,11.5
Ohio,Youngstown,,,
California,Santa Clarita,7.8,7.4,8.3
New York,New York,11.4,10.8,11.9
California,San Francisco,6.7,6.2,7.2
North Carolin,Wilmington,7.8,7.3,8.4
Washington,Seattle,10.1,9.3,11.2
California,Los Angeles,7.8,7.2,8.4
Arizona,Phoenix,8.9,8.4,9.6
Pennsylvania,Philadelphia,13.2,12.6,13.9
Texas,San Antonio,,,
California,Los Angeles,9.6,8.6,10.5
Illinois,Chicago,14.7,13.3,16.2
Colorado,Westminster,8.6,8.1,9.2
New Jersey,Elizabeth,8.5,8.0,9.2
New York,New York,8.6,8.1,9.1
Florida,Miami,5.9,5.7,6.1
Michigan,Detroit,15.7,14.4,17.2
California,Santa Clarita,7.8,7.4,8.4
Pennsylvania,Pittsburgh,12.0,11.3,12.9
California,Bakersfield,9.6,9.2,10.1
Nevada,Reno,8.8,8.3,9.4
Arizona,Surprise,9.8,9.3,10.4
Colorado,Boulder,7.8,7.3,8.4
California,Lynwood,9.3,8.3,10.2
California,Los Angeles,8.6,7.9,9.5
Utah,Provo,10.7,9.3,12.1
Oregon,Portland,8.8,8.4,9.2
Ohio,Toledo,8.5,8.1,9.0
New York,New York,9.1,8.6,9.7
Kentucky,Louisville,11.6,11.2,12.0
Illinois,Chicago,14.2,12.9,15.7
New Hampshire,Manchester,10.5,9.9,11.2
California,Fontana,10.9,9.8,11.9
Texas,Pasadena,8.5,8.4,8.7
Minnesota,Bloomington,7.7,7.3,8.2
California,Los Angeles,10.2,9.3,11.2
Iowa,Cedar Rapids,7.8,7.3,8.3
Illinois,Springfield,8.9,8.4,9.5
Michigan,Detroit,15.2,13.9,16.5
New Mexico,Albuquerque,10.3,9.9,10.8
Michigan,Detroit,15.2,14.0,16.4
Texas,Frisco,7.4,7.0,7.9
Iowa,Davenport,9.0,8.5,9.7
Illinois,Elgin,9.1,8.9,9.2
New Jersey,Camden,10.8,10.1,11.6
Virginia,Suffolk,8.0,7.5,8.6
Texas,Dallas,7.4,7.1,7.7
Arizona,Tucson,10.1,9.6,10.7
Texas,Lubbock,9.5,8.8,10.4
New York,New York,14.0,12.9,15.2
Texas,Garland,9.2,8.6,9.8
South Carolin,Charleston,8.6,8.3,9.0
Arizona,Glendale,11.8,11.0,12.7
New York,New York,13.1,12.1,14.3
California,Los Angeles,8.9,8.3,9.7
Michigan,Lansing,12.7,12.1,13.4
Arizona,Tucson,10.1,9.7,10.7
Illinois,Chicago,7.8,7.4,8.4
Texas,Fort Worth,8.7,8.3,9.1
Pennsylvania,Philadelphia,11.2,10.5,12.0
Colorado,Greeley,8.7,8.1,9.3
Florida,Lakeland,8.1,7.7,8.5
Texas,El Paso,,,
Texas,Dallas,9.9,9.2,10.5
Texas,Allen,7.9,7.8,8.1
Michigan,Detroit,13.2,12.3,14.3
Washington,Vancouver,10.1,9.4,11.0
Florida,Davie,7.4,7.0,7.8
Pennsylvania,Pittsburgh,14.1,13.1,15.3
Georgia,Albany,9.9,9.3,10.5
California,San Francisco,7.6,7.2,8.2
California,San Diego,10.1,9.2,11.0
California,Moreno Valley,9.8,9.1,10.6
Arizona,Phoenix,10.6,9.9,11.5
California,Los Angeles,7.7,7.3,8.2
Virginia,Suffolk,8.6,8.1,9.1
Ohio,Cleveland,13.9,12.9,15.1
Florida,Jacksonville,10.5,9.8,11.1
New York,New York,11.8,11.3,12.4
California,Pomona,8.7,8.2,9.3
Washington,Seattle,8.3,8.1,8.6
Texas,Tyler,11.2,10.5,12.0
New York,New York,10.0,9.6,10.5
Connecticut,Bridgeport,10.1,9.6,10.6
Ohio,Columbus,8.2,7.7,8.8
California,Los Angeles,8.7,8.2,9.3
Texas,Carrollton,8.4,7.8,9.2
Ohio,Toledo,9.3,8.7,10.0
New Jersey,Passaic,9.5,8.6,10.6
North Carolin,Fayetteville,,,
Montana,Billings,8.2,7.7,8.9
California,Santa Maria,8.5,8.0,9.1
North Carolin,Charlotte,10.0,9.3,10.7
Texas,Houston,7.0,6.6,7.4
Rhode Island,Pawtucket,11.9,11.2,12.8
Nebraska,Omaha,7.3,6.9,8.0
Wisconsin,Milwaukee,8.8,8.1,9.8
Colorado,Fort Collins,8.9,8.3,9.7
Kansas,Kansas City,9.2,8.6,10.0
California,Fresno,11.7,10.9,12.5
Texas,San Antonio,9.4,8.7,10.2
Virginia,Virginia Beach,8.2,7.7,8.7
New York,New York,9.8,9.1,10.6
Texas,Dallas,8.7,8.2,9.4
Oregon,Portland,8.8,8.4,9.4
Illinois,Chicago,16.4,14.9,18.0
Texas,Dallas,7.4,7.0,7.8
California,Concord,9.0,8.5,9.5
Texas,Grand Prairie,,,
Texas,Houston,7.2,6.8,7.6
Arizona,Phoenix,9.8,9.4,10.3
Illinois,Chicago,12.3,11.3,13.4
Colorado,Greeley,8.8,8.3,9.4
Pennsylvania,Bethlehem,9.8,9.3,10.3
Texas,Houston,8.3,7.9,8.6
Colorado,Thornton,9.0,8.3,9.9
Illinois,Chicago,7.6,7.2,8.4
Louisiana,New Orleans,11.1,10.4,11.9
Minnesota,St. Paul,7.8,7.4,8.3
California,Redondo Beach,7.5,7.1,7.9
Minnesota,Duluth,8.5,8.0,9.2
Georgia,Columbus,8.2,7.8,8.6
Idaho,Boise City,9.1,9.0,9.2
New York,New York,13.2,12.3,14.3
Connecticut,New Britain,12.8,12.1,13.5
New York,New York,11.7,10.9,12.6
California,Los Angeles,7.2,6.9,7.5
New York,New York,8.5,8.1,9.0
Colorado,Fort Collins,8.9,8.4,9.6
New York,New York,9.9,9.5,10.6
Ohio,Cincinnati,14.5,13.4,15.9
Indiana,Evansville,12.3,11.4,13.1
Michigan,Detroit,11.8,11.0,12.6
Arkansas,Jonesboro,9.7,9.2,10.2
North Carolin,Greensboro,10.0,9.5,10.7
Missouri,St. Louis,10.7,10.1,11.6
Texas,Wichita Falls,8.9,8.3,9.7
New York,New York,9.9,9.3,10.7
North Carolin,Charlotte,8.9,8.4,9.5
New York,New York,12.5,11.7,13.4
Georgia,Atlanta,11.8,10.9,13.1
New York,New York,12.3,11.5,13.1
Mississippi,Gulfport,8.6,8.2,9.1
Ohio,Cleveland,13.3,12.6,14.2
Texas,Houston,8.8,8.7,8.8
California,Merced,9.7,9.1,10.3
New York,New York,8.7,8.3,9.4
California,Los Angeles,8.3,7.8,8.9
Florida,Hialeah,7.2,6.5,8.0
Texas,Houston,10.7,9.9,11.6
Colorado,Lakewood,8.9,8.3,9.7
Florida,Miami Beach,6.3,5.8,6.8
Iowa,Des Moines,8.8,8.2,9.4
Arizona,Phoenix,8.7,8.3,9.3
New York,New York,9.3,8.8,10.0
California,San Francisco,7.5,7.1,7.9
New Mexico,Rio Rancho,9.7,9.2,10.4
California,Whittier,7.2,6.8,7.6
Michigan,Dearborn,10.3,9.7,11.1
Oklahoma,Broken Arrow,8.8,8.3,9.5
California,San Diego,7.6,7.3,7.9
Illinois,Rockford,12.2,11.3,13.1
District of C,Washington,12.0,11.0,13.1
Washington,Spokane Valley,10.1,9.4,10.9
Texas,Frisco,7.4,7.0,7.8
Illinois,Chicago,8.1,7.6,8.8
New York,Schenectady,13.2,12.6,13.8
Kansas,Kansas City,12.2,11.5,13.0
Texas,Beaumont,10.0,9.5,10.6
Connecticut,Norwalk,8.4,7.9,9.1
Georgia,Albany,11.0,10.8,11.3
Pennsylvania,Pittsburgh,,,
California,Simi Valley,8.4,7.9,9.1
Texas,Lewisville,8.4,8.0,8.8
North Carolin,Fayetteville,8.8,8.4,9.5
South Carolin,Columbia,11.8,10.9,12.8
New York,New York,12.5,11.6,13.5
Florida,Gainesville,6.9,6.5,7.4
California,Whittier,7.0,6.7,7.3
Montana,Billings,8.9,8.4,9.5
Texas,Dallas,10.5,9.7,11.3
Wisconsin,Green Bay,8.3,7.8,9.1
California,Los Angeles,8.4,7.5,9.3
Connecticut,Hartford,12.2,11.3,13.1
California,San Bernardino,10.1,9.5,10.8
Colorado,Colorado Springs,10.9,10.4,11.5
California,Fresno,9.2,8.6,9.7
California,Los Angeles,8.9,8.2,9.5
Arizona,Peoria,9.7,9.2,10.3
California,Anaheim,,,
New York,New York,11.6,10.8,12.4
Ohio,Columbus,8.7,8.2,9.5
Tennessee,Memphis,11.3,10.6,12.2
Minnesota,Plymouth,7.0,6.7,7.4
Michigan,Farmington Hills,9.7,9.2,10.4
New York,New York,10.4,9.7,11.1
California,Citrus Heights,10.1,9.6,10.7
Kansas,Wichita,10.6,10.0,11.2
South Carolin,Charleston,8.4,8.0,8.9
Florida,Port St. Lucie,8.3,7.9,8.8
Nevada,Las Vegas,8.1,7.7,8.5
Tennessee,Nashville,10.8,10.1,11.7
Missouri,St. Louis,13.1,12.1,14.2
Hawaii,Honolulu,9.2,8.8,9.6
New York,New York,9.0,8.4,9.7
Illinois,Palatine,8.0,7.5,8.6
Minnesota,St. Paul,8.5,8.0,9.1
Pennsylvania,Erie,10.4,10.0,11.0
Florida,Lauderhill,8.1,7.7,8.5
Wisconsin,Green Bay,8.7,8.2,9.4
Illinois,Chicago,7.6,7.3,8.0
Florida,Miami Gardens,8.5,7.9,9.1
Illinois,Chicago,7.5,7.2,7.8
North Carolin,Fayetteville,8.5,8.1,9.3
Texas,Odessa,8.7,8.1,9.3
California,Los Angeles,9.6,9.1,10.2
California,Milpitas,,,
California,Long Beach,7.8,7.5,8.1
Idaho,Boise City,10.5,9.7,12.0
Pennsylvania,Philadelphia,13.3,12.4,14.3
Tennessee,Nashville,13.2,12.3,14.2
California,San Jose,8.4,7.6,9.4
Colorado,Westminster,9.3,8.7,9.9
Florida,Tampa,14.2,12.8,15.7
Oregon,Hillsboro,8.6,8.1,9.1
California,San Mateo,7.4,7.1,7.8
Texas,El Paso,8.6,7.8,9.5
New York,New York,8.5,8.1,9.0
California,Long Beach,7.9,7.5,8.5
Arkansas,Little Rock,8.0,7.6,8.6
California,Livermore,8.7,8.2,9.3
Ohio,Dayton,10.8,10.0,11.8
Kansas,Wichita,,,
Georgia,Columbus,9.8,9.2,10.7
Colorado,Greeley,9.5,8.9,10.2
Missouri,Columbia,9.8,9.1,10.7
Alabama,Tuscaloosa,12.0,10.7,14.1
Oklahoma,Oklahoma City,13.3,12.5,14.3
Colorado,Lakewood,9.2,8.7,9.8
North Carolin,Charlotte,8.3,7.9,8.8
Washington,Vancouver,9.4,8.8,10.1
Texas,Round Rock,7.9,7.4,8.4
North Carolin,Durham,11.5,10.6,12.5
Texas,Lubbock,8.5,8.1,9.0
New York,New York,10.1,9.4,10.9
Hawaii,Honolulu,8.1,7.8,8.3
Pennsylvania,Scranton,10.5,10.0,11.1
Georgia,Columbus,9.0,8.4,9.7
Texas,San Antonio,8.8,8.1,9.7
Tennessee,Nashville,11.5,10.8,12.3
Alabama,Birmingham,,,
Arizona,Phoenix,8.4,8.1,8.9
Louisiana,Kenner,8.2,7.7,8.7
Michigan,Detroit,13.8,12.8,14.9
Louisiana,Baton Rouge,7.0,6.7,7.5
California,Menifee,8.5,8.1,9.0
California,Bakersfield,10.0,9.2,10.7
New York,New York,8.1,7.7,8.6
Michigan,Detroit,14.6,13.4,16.1
Texas,San Antonio,8.9,8.2,9.7
Georgia,Columbus,6.8,6.4,7.3
Texas,Carrollton,6.9,6.6,7.4
California,Los Angeles,8.9,8.2,9.5
Florida,Clearwater,7.6,7.2,8.2
Texas,Allen,7.4,7.0,8.0
