United States,USA,1894,425049648
United States,USA,1895,479947360
United States,USA,1896,480881680
United States,USA,1897,500286224
United States,USA,1898,545320448
United States,USA,1899,625532736
United States,USA,1900,662736992
United States,USA,1901,721525872
United States,USA,1902,764493600
United States,USA,1903,894404384
United States,USA,1904,880221040
United States,USA,1905,984498480
United States,USA,1906,1033339600
United States,USA,1907,1201802992
United States,USA,1908,1050974432
United States,USA,1909,1163352976
United States,USA,1910,1269227920
United States,USA,1911,1256385600
United States,USA,1912,1341210864
United States,USA,1913,1440113216
United States,USA,1914,1315698432
United States,USA,1915,1365268688
United States,USA,1916,1516258464
United States,USA,1917,1668468352
United States,USA,1918,1745584560
United States,USA,1919,1476951072
United States,USA,1920,1735889616
United States,USA,1921,1421972752
United States,USA,1922,1433327488
United States,USA,1923,1894009536
United States,USA,1924,1695592944
United States,USA,1925,1740898304
United States,USA,1926,1888535520
United States,USA,1927,1844838656
United States,USA,1928,1827786400
United States,USA,1929,1960338928
United States,USA,1930,1742210016
United States,USA,1931,1483080944
United States,USA,1932,1256400256
United States,USA,1933,1347183184
United States,USA,1934,1434390048
United States,USA,1935,1490262384
United States,USA,1936,1710695952
United States,USA,1937,1789563552
United States,USA,1938,1513418864
United States,USA,1939,1667863792
United States,USA,1940,1871490592
United States,USA,1941,2039213856
United States,USA,1942,2193896944
United States,USA,1943,2267184272
United States,USA,1944,2440377888
United States,USA,1945,2355340112
United States,USA,1946,2253033904
United States,USA,1947,2480762496
United States,USA,1948,2577052416
United States,USA,1949,2159990288
United States,USA,1950,2535942336
United States,USA,1951,2612369712
United States,USA,1952,2545080352
United States,USA,1953,2605745200
United States,USA,1954,2483052496
United States,USA,1955,2721721792
United States,USA,1956,2852903984
United States,USA,1957,2828611664
United States,USA,1958,2740924816
United States,USA,1959,2823004702
United States,USA,1960,2887820432
United States,USA,1961,2877369848
United States,USA,1962,2984001744
United States,USA,1963,3116022372
United States,USA,1964,3252755199
United States,USA,1965,3388192678
United States,USA,1966,3559179160
United States,USA,1967,3693298171
United States,USA,1968,3828306054
United States,USA,1969,4021502617
United States,USA,1970,4325500825
United States,USA,1971,4351308657
United States,USA,1972,4558452642
United States,USA,1973,4762452212
United States,USA,1974,4592958261
United States,USA,1975,4400795008
United States,USA,1976,4607168187
United States,USA,1977,4735366318
United States,USA,1978,4882964043
United States,USA,1979,4894042875
United States,USA,1980,4716716355
United States,USA,1981,4530369843
United States,USA,1982,4301970691
United States,USA,1983,4335916563
United States,USA,1984,4468262025
United States,USA,1985,4484338153
United States,USA,1986,4487855840
United States,USA,1987,4680834052
United States,USA,1988,4885590503
United States,USA,1989,4948021163
United States,USA,1990,5121264461
United States,USA,1991,5070839400
United States,USA,1992,5174059076
United States,USA,1993,5284687882
United States,USA,1994,5377987137
United States,USA,1995,5439213314
United States,USA,1996,5626186717
United States,USA,1997,5703890708
United States,USA,1998,5752324190
United States,USA,1999,5832250178
United States,USA,2000,6000606067
United States,USA,2001,5902454993
United States,USA,2002,5943651279
United States,USA,2003,5991319569
United States,USA,2004,6106620735
United States,USA,2005,6132005704
United States,USA,2006,6052236286
United States,USA,2007,6130983563
United States,USA,2008,5932775281
United States,USA,2009,5495394958
United States,USA,2010,5701075808
United States,USA,2011,5570706560
United States,USA,2012,5366730281
United States,USA,2013,5519612557
United States,USA,2014,5568759258
United States,USA,2015,5420804127
United States,USA,2016,5310861406
United States,USA,2017,5269529513
